PERFIL FINANCIERO,ACTIVO,PASIVO,CAPITAL CONTABLE,ID_MES,MES,ANIO
EL CREDITO HIPOTECARIO NACIONAL DE GUATEMALA,4997677,4806250,191427,1,NOVIEMBRE,2020
INMOBILIARIO S. A.,1945686,1618324,327362,1,NOVIEMBRE,2020
DE LOS TRABAJADORES,28029407,24117870,3911537,1,NOVIEMBRE,2020
INDUSTRIAL S. A.,107179306,98184177,8995128,1,NOVIEMBRE,2020
DE DESARROLLO RURAL S. A.,84433466,76328096,8105370,1,NOVIEMBRE,2020
INTERNACIONAL S. A.,11090004,10082494,1007510,1,NOVIEMBRE,2020
CITIBANK N.A. SUCURSAL GUATEMALA,4229056,3802967,426088,1,NOVIEMBRE,2020
VIVIBANCO S. A.,784319,628204,156116,1,NOVIEMBRE,2020
FICOHSA GUATEMALA S. A.,2846268,2529464,316804,1,NOVIEMBRE,2020
PROMERICA S. A.,17681466,15924584,1756883,1,NOVIEMBRE,2020
DE ANTIGUA S. A.,1482883,1276409,206474,1,NOVIEMBRE,2020
DE AMERICA CENTRAL S. A.,34342100,31287473,3054627,1,NOVIEMBRE,2020
AGROMERCANTIL DE GUATEMALA S. A.,32020230,29372555,2647675,1,NOVIEMBRE,2020
G&T CONTINENTAL S. A.,55685038,50553052,5131986,1,NOVIEMBRE,2020
AZTECA DE GUATEMALA S. A.,1917869,1370634,547235,1,NOVIEMBRE,2020
INV S. A.,939617,816529,123088,1,NOVIEMBRE,2020
CREDICORP S. A.,416242,357783,58459,1,NOVIEMBRE,2020
EL CREDITO HIPOTECARIO NACIONAL DE GUATEMALA,5701976,5468203,233773,2,DICIEMBRE,2020
INMOBILIARIO S. A.,1987348,1654549,332799,2,DICIEMBRE,2020
DE LOS TRABAJADORES,27839545,23956103,3883442,2,DICIEMBRE,2020
INDUSTRIAL S. A.,109248691,100139997,9108694,2,DICIEMBRE,2020
DE DESARROLLO RURAL S. A.,85157529,77260902,7896627,2,DICIEMBRE,2020
INTERNACIONAL S. A.,11180537,10143842,1036695,2,DICIEMBRE,2020
CITIBANK N.A. SUCURSAL GUATEMALA,4824523,4481708,342815,2,DICIEMBRE,2020
VIVIBANCO S. A.,775345,621595,153750,2,DICIEMBRE,2020
FICOHSA GUATEMALA S. A.,3063499,2744551,318948,2,DICIEMBRE,2020
PROMERICA S. A.,17485138,15880064,1605074,2,DICIEMBRE,2020
DE ANTIGUA S. A.,1467480,1269750,197730,2,DICIEMBRE,2020
DE AMERICA CENTRAL S. A.,34480915,31470534,3010380,2,DICIEMBRE,2020
AGROMERCANTIL DE GUATEMALA S. A.,31812010,29175847,2636163,2,DICIEMBRE,2020
G&T CONTINENTAL S. A.,55751644,50635901,5115743,2,DICIEMBRE,2020
AZTECA DE GUATEMALA S. A.,1934437,1374482,559955,2,DICIEMBRE,2020
INV S. A.,930519,805432,125088,2,DICIEMBRE,2020
CREDICORP S. A.,425317,366104,59213,2,DICIEMBRE,2020
EL CREDITO HIPOTECARIO NACIONAL DE GUATEMALA,5231404,4985605,245799,3,ENERO,2021
INMOBILIARIO S. A.,2037146,1702746,334399,3,ENERO,2021
DE LOS TRABAJADORES,28121453,24179138,3942315,3,ENERO,2021
INDUSTRIAL S. A.,109911171,100683638,9227533,3,ENERO,2021
DE DESARROLLO RURAL S. A.,85620311,77636201,7984110,3,ENERO,2021
INTERNACIONAL S. A.,11322296,10275207,1047089,3,ENERO,2021
CITIBANK N.A. SUCURSAL GUATEMALA,4594835,4249419,345417,3,ENERO,2021
VIVIBANCO S. A.,788552,632870,155683,3,ENERO,2021
FICOHSA GUATEMALA S. A.,3031790,2712260,319530,3,ENERO,2021
PROMERICA S. A.,17969928,16351145,1618783,3,ENERO,2021
DE ANTIGUA S. A.,1488318,1312273,176044,3,ENERO,2021
DE AMERICA CENTRAL S. A.,34701142,31655966,3045176,3,ENERO,2021
AGROMERCANTIL DE GUATEMALA S. A.,31855324,29217386,2637937,3,ENERO,2021
G&T CONTINENTAL S. A.,56554430,51416248,5138181,3,ENERO,2021
AZTECA DE GUATEMALA S. A.,1911075,1333652,577422,3,ENERO,2021
INV S. A.,929271,803626,125645,3,ENERO,2021
CREDICORP S. A.,430598,370599,59999,3,ENERO,2021
EL CREDITO HIPOTECARIO NACIONAL DE GUATEMALA,5393023,5139261,253763,4,FEBRERO,2021
INMOBILIARIO S. A.,1981535,1648941,332593,4,FEBRERO,2021
DE LOS TRABAJADORES,28133805,24278645,3855160,4,FEBRERO,2021
INDUSTRIAL S. A.,109003615,99780819,9222797,4,FEBRERO,2021
DE DESARROLLO RURAL S. A.,86213140,78154425,8058715,4,FEBRERO,2021
INTERNACIONAL S. A.,11317515,10261023,1056493,4,FEBRERO,2021
CITIBANK N.A. SUCURSAL GUATEMALA,4336361,3987399,348962,4,FEBRERO,2021
VIVIBANCO S. A.,790974,639899,151075,4,FEBRERO,2021
FICOHSA GUATEMALA S. A.,3154878,2832356,322522,4,FEBRERO,2021
PROMERICA S. A.,17855222,16210741,1644481,4,FEBRERO,2021
DE ANTIGUA S. A.,1509598,1328401,181196,4,FEBRERO,2021
DE AMERICA CENTRAL S. A.,34902032,31855188,3046844,4,FEBRERO,2021
AGROMERCANTIL DE GUATEMALA S. A.,31969271,29315476,2653795,4,FEBRERO,2021
G&T CONTINENTAL S. A.,56947898,51758293,5189605,4,FEBRERO,2021
AZTECA DE GUATEMALA S. A.,1911612,1321946,589666,4,FEBRERO,2021
INV S. A.,932459,813083,119376,4,FEBRERO,2021
CREDICORP S. A.,447673,396504,51169,4,FEBRERO,2021
EL CREDITO HIPOTECARIO NACIONAL DE GUATEMALA,5356311,5087142,269168,5,MARZO,2021
INMOBILIARIO S. A.,1972203,1636625,335578,5,MARZO,2021
DE LOS TRABAJADORES,28416638,24512437,3904201,5,MARZO,2021
INDUSTRIAL S. A.,111009867,101506303,9503565,5,MARZO,2021
DE DESARROLLO RURAL S. A.,86113731,78308326,7805406,5,MARZO,2021
INTERNACIONAL S. A.,11173738,10105272,1068466,5,MARZO,2021
CITIBANK N.A. SUCURSAL GUATEMALA,4130179,3771462,358718,5,MARZO,2021
VIVIBANCO S. A.,765157,612983,152174,5,MARZO,2021
FICOHSA GUATEMALA S. A.,3200302,2874827,325475,5,MARZO,2021
PROMERICA S. A.,17813585,16038592,1774994,5,MARZO,2021
DE ANTIGUA S. A.,1496359,1304415,191944,5,MARZO,2021
DE AMERICA CENTRAL S. A.,35026529,31934202,3092326,5,MARZO,2021
AGROMERCANTIL DE GUATEMALA S. A.,31679116,28902306,2776811,5,MARZO,2021
G&T CONTINENTAL S. A.,56173977,51111840,5062137,5,MARZO,2021
AZTECA DE GUATEMALA S. A.,1942997,1339062,603935,5,MARZO,2021
INV S. A.,930229,810130,120099,5,MARZO,2021
CREDICORP S. A.,463326,410780,52546,5,MARZO,2021
EL CREDITO HIPOTECARIO NACIONAL DE GUATEMALA,5534610,5253869,280741,6,ABRIL,2021
INMOBILIARIO S. A.,2037961,1700380,337581,6,ABRIL,2021
DE LOS TRABAJADORES,28676074,24692534,3983540,6,ABRIL,2021
INDUSTRIAL S. A.,112362517,103842371,8520146,6,ABRIL,2021
DE DESARROLLO RURAL S. A.,87432128,79520305,7911823,6,ABRIL,2021
INTERNACIONAL S. A.,11439168,10393588,1045580,6,ABRIL,2021
CITIBANK N.A. SUCURSAL GUATEMALA,4312208,3944125,368083,6,ABRIL,2021
VIVIBANCO S. A.,765152,612169,152982,6,ABRIL,2021
FICOHSA GUATEMALA S. A.,3165145,2838471,326674,6,ABRIL,2021
PROMERICA S. A.,18026749,16379000,1647749,6,ABRIL,2021
DE ANTIGUA S. A.,1536311,1340610,195702,6,ABRIL,2021
DE AMERICA CENTRAL S. A.,34464484,31362892,3101591,6,ABRIL,2021
AGROMERCANTIL DE GUATEMALA S. A.,32333473,29487991,2845482,6,ABRIL,2021
G&T CONTINENTAL S. A.,56565789,51398575,5167214,6,ABRIL,2021
AZTECA DE GUATEMALA S. A.,1936622,1317803,618819,6,ABRIL,2021
INV S. A.,913513,792712,120801,6,ABRIL,2021
CREDICORP S. A.,493224,440444,52780,6,ABRIL,2021
EL CREDITO HIPOTECARIO NACIONAL DE GUATEMALA,5603350,5310799,292552,7,MAYO,2021
INMOBILIARIO S. A.,2010207,1670702,339505,7,MAYO,2021
DE LOS TRABAJADORES,28887509,24834384,4053125,7,MAYO,2021
INDUSTRIAL S. A.,112844349,104174738,8669612,7,MAYO,2021
DE DESARROLLO RURAL S. A.,88765495,80642851,8122645,7,MAYO,2021
INTERNACIONAL S. A.,11480163,10422292,1057871,7,MAYO,2021
CITIBANK N.A. SUCURSAL GUATEMALA,4229080,3858680,370401,7,MAYO,2021
VIVIBANCO S. A.,773247,618676,154571,7,MAYO,2021
FICOHSA GUATEMALA S. A.,3189467,2861165,328302,7,MAYO,2021
PROMERICA S. A.,18600360,16908350,1692010,7,MAYO,2021
DE ANTIGUA S. A.,1455811,1340736,115076,7,MAYO,2021
